architecture,seed,success_rate,mean_steps,mean_latency_ms,val_cosine_sim,val_loss,param_count
Tiny-MLP (2x128),0,0.0,600.0,0.09788793456391431,0.8460693955421448,0.3475128412246704,36992
Tiny-MLP (2x128),1,0.0,600.0,0.0793787658670529,0.8460693955421448,0.3475128412246704,36992
Tiny-MLP (2x128),2,0.0,600.0,0.08013920574254978,0.8460693955421448,0.3475128412246704,36992
Tiny-MLP (2x128),3,0.0,600.0,0.06543256038761076,0.8460693955421448,0.3475128412246704,36992
Tiny-MLP (2x128),4,0.0,600.0,0.061806227293952055,0.8460693955421448,0.3475128412246704,36992
Tiny-MLP (2x128),5,0.0,600.0,0.06002570102767398,0.8460693955421448,0.3475128412246704,36992
Tiny-MLP (2x128),6,0.0,600.0,0.05996673510041243,0.8460693955421448,0.3475128412246704,36992
Tiny-MLP (2x128),7,0.0,600.0,0.05882399985663748,0.8460693955421448,0.3475128412246704,36992
Tiny-MLP (2x128),8,0.0,600.0,0.05915158524779448,0.8460693955421448,0.3475128412246704,36992
Tiny-MLP (2x128),9,0.0,600.0,0.058904804546424806,0.8460693955421448,0.3475128412246704,36992
Base-MLP (3x256),0,0.0,600.0,0.07616120381377793,0.8408981561660767,0.3682190775871277,140160
Base-MLP (3x256),1,0.0,600.0,0.07597399751345317,0.8408981561660767,0.3682190775871277,140160
Base-MLP (3x256),2,0.0,600.0,0.07587701669641926,0.8408981561660767,0.3682190775871277,140160
Base-MLP (3x256),3,0.0,600.0,0.07930679136673764,0.8408981561660767,0.3682190775871277,140160
Base-MLP (3x256),4,0.0,600.0,0.07829457754269242,0.8408981561660767,0.3682190775871277,140160
Base-MLP (3x256),5,0.0,600.0,0.07566763013892341,0.8408981561660767,0.3682190775871277,140160
Base-MLP (3x256),6,0.0,600.0,0.08081392502936069,0.8408981561660767,0.3682190775871277,140160
Base-MLP (3x256),7,0.0,600.0,0.07611330664076377,0.8408981561660767,0.3682190775871277,140160
Base-MLP (3x256),8,0.0,600.0,0.07519420348398853,0.8408981561660767,0.3682190775871277,140160
Base-MLP (3x256),9,0.0,600.0,0.07522459769582686,0.8408981561660767,0.3682190775871277,140160
Deep-MLP (4x256),0,0.0,600.0,0.09189660620177165,0.8017408847808838,0.4543873965740204,206464
Deep-MLP (4x256),1,0.0,600.0,0.09205234135636904,0.8017408847808838,0.4543873965740204,206464
Deep-MLP (4x256),2,0.0,600.0,0.0917202208947856,0.8017408847808838,0.4543873965740204,206464
Deep-MLP (4x256),3,0.0,600.0,0.09334732568337738,0.8017408847808838,0.4543873965740204,206464
Deep-MLP (4x256),4,0.0,600.0,0.09153737551726711,0.8017408847808838,0.4543873965740204,206464
Deep-MLP (4x256),5,0.0,600.0,0.09130085544408455,0.8017408847808838,0.4543873965740204,206464
Deep-MLP (4x256),6,0.0,600.0,0.091788268473465,0.8017408847808838,0.4543873965740204,206464
Deep-MLP (4x256),7,0.0,600.0,0.09537780396931339,0.8017408847808838,0.4543873965740204,206464
Deep-MLP (4x256),8,0.0,600.0,0.09130842884769663,0.8017408847808838,0.4543873965740204,206464
Deep-MLP (4x256),9,0.0,600.0,0.09250380251614843,0.8017408847808838,0.4543873965740204,206464
Wide-MLP (3x512),0,0.0,600.0,0.08766966576513369,0.8130961060523987,0.43492868542671204,411264
Wide-MLP (3x512),1,0.0,600.0,0.08816623084809787,0.8130961060523987,0.43492868542671204,411264
Wide-MLP (3x512),2,0.0,600.0,0.09254453185712919,0.8130961060523987,0.43492868542671204,411264
Wide-MLP (3x512),3,0.0,600.0,0.08788864548841957,0.8130961060523987,0.43492868542671204,411264
Wide-MLP (3x512),4,0.0,600.0,0.09000838633316259,0.8130961060523987,0.43492868542671204,411264
Wide-MLP (3x512),5,0.0,600.0,0.08743914159034223,0.8130961060523987,0.43492868542671204,411264
Wide-MLP (3x512),6,0.0,600.0,0.08703583288782586,0.8130961060523987,0.43492868542671204,411264
Wide-MLP (3x512),7,0.0,600.0,0.08817447170440573,0.8130961060523987,0.43492868542671204,411264
Wide-MLP (3x512),8,0.0,600.0,0.08751254954161898,0.8130961060523987,0.43492868542671204,411264
Wide-MLP (3x512),9,0.0,600.0,0.08720406111873065,0.8130961060523987,0.43492868542671204,411264
ResNet-MLP (4x256-Skip),0,0.0,600.0,0.09523193821951281,0.8132264018058777,0.43539461493492126,206464
ResNet-MLP (4x256-Skip),1,0.0,600.0,0.09429550809242453,0.8132264018058777,0.43539461493492126,206464
ResNet-MLP (4x256-Skip),2,0.0,600.0,0.09460897823737469,0.8132264018058777,0.43539461493492126,206464
ResNet-MLP (4x256-Skip),3,0.0,600.0,0.09428942672578462,0.8132264018058777,0.43539461493492126,206464
ResNet-MLP (4x256-Skip),4,0.0,600.0,0.1021808933680101,0.8132264018058777,0.43539461493492126,206464
ResNet-MLP (4x256-Skip),5,0.0,600.0,0.09529609252543499,0.8132264018058777,0.43539461493492126,206464
ResNet-MLP (4x256-Skip),6,0.0,600.0,0.09456566562585067,0.8132264018058777,0.43539461493492126,206464
ResNet-MLP (4x256-Skip),7,0.0,600.0,0.09352325788252831,0.8132264018058777,0.43539461493492126,206464
ResNet-MLP (4x256-Skip),8,0.0,600.0,0.09398095854461037,0.8132264018058777,0.43539461493492126,206464
ResNet-MLP (4x256-Skip),9,0.0,600.0,0.09409228201548103,0.8132264018058777,0.43539461493492126,206464
