scenario_name,mode,seed,step,x,y,action_norm,speed,subgoal_x,subgoal_y,dist_to_subgoal,dist_to_goal,alignment_cos,reached_goal,reward,done
straight_corridor_2,direct_latent,6,0,0.0,0.0,0.0,0.0,7.0,7.0,9.899494936611665,9.899494936611665,1.0,False,0.0,False
straight_corridor_2,direct_latent,6,1,0.008232271893382083,-0.01410712061795276,1.267092227935791,0.016333436645606353,7.0,7.0,9.903661679565626,9.903661679565626,-0.2543338221908442,False,0.0,False
straight_corridor_2,direct_latent,6,2,0.012134228345152438,-0.03770822530332038,1.974836826324463,0.02392148420397852,7.0,7.0,9.91764110598722,9.91764110598722,-0.583592655751548,False,0.0,False
straight_corridor_2,direct_latent,6,3,-0.034465929582152506,-0.09381463633784297,1.848981499671936,0.07293493043819649,7.0,7.0,9.990291137357964,9.990291137357964,-0.9960651208061115,False,0.0,False
straight_corridor_2,direct_latent,6,4,-0.07763147456942333,-0.1204060067340247,2.0503599643707275,0.05069876974439352,7.0,7.0,10.039574143884277,10.039574143884277,-0.9719352633314176,False,0.0,False
straight_corridor_2,direct_latent,6,5,-0.11969256736965682,-0.03305270839477167,1.6185446977615356,0.09695222668044505,7.0,7.0,10.00768967608997,10.00768967608997,0.3331741045509924,False,0.0,False
straight_corridor_2,direct_latent,6,6,-0.15769096229046028,0.09737970152423787,1.1279492378234863,0.1358546707840326,7.0,7.0,9.94377729520247,9.94377729520247,0.475731996019653,False,0.0,False
straight_corridor_2,direct_latent,6,7,-0.18736814336012905,0.22466110190642452,1.4076001644134521,0.13069540909876068,7.0,7.0,9.877422640153043,9.877422640153043,0.5125823256070938,False,0.0,False
straight_corridor_2,direct_latent,6,8,-0.20350484176052483,0.33687420754806724,1.9696341753005981,0.11336742968334337,7.0,7.0,9.812631009637808,9.812631009637808,0.5753831723345636,False,0.0,False
straight_corridor_2,direct_latent,6,9,-0.15303256352961098,0.4513468355766819,1.7954025268554688,0.12510568906966765,7.0,7.0,9.697975722944792,9.697975722944792,0.9174879228884422,False,0.0,False
straight_corridor_2,direct_latent,6,10,-0.11722158576068425,0.5247511259427022,1.5657860040664673,0.08167383897494708,7.0,7.0,9.622041939307795,9.622041939307795,0.9302908634192006,False,0.0,False
straight_corridor_2,direct_latent,6,11,-0.09638019605566646,0.6224170481246188,1.8396366834640503,0.099864888126311,7.0,7.0,9.541078355983801,9.541078355983801,0.8125097055496053,False,0.0,False
straight_corridor_2,direct_latent,6,12,-0.07811546248761488,0.7548006265179603,2.317838430404663,0.13363761566466942,7.0,7.0,9.439397952986553,9.439397952986553,0.7638155887552095,False,0.0,False
straight_corridor_2,direct_latent,6,13,-0.08134685438565376,0.883037521285044,1.5950027704238892,0.12827760160333057,7.0,7.0,9.357494495757088,9.357494495757088,0.6425108355582902,False,0.0,False
straight_corridor_2,direct_latent,6,14,-0.12024580438094024,1.0149057373519563,1.6108174324035645,0.1374858346136273,7.0,7.0,9.301572643783787,9.301572643783787,0.4128771869108344,False,0.0,False
straight_corridor_2,direct_latent,6,15,-0.14181940272300667,1.1380697639189388,1.325247049331665,0.1250391842008623,7.0,7.0,9.239470248547379,9.239470248547379,0.5017268724624311,False,0.0,False
straight_corridor_2,direct_latent,6,16,-0.11955421466724896,1.2488556707171699,1.521567463874817,0.1130011316061242,7.0,7.0,9.152251816456333,9.152251816456333,0.7743089536916566,False,0.0,False
straight_corridor_2,direct_latent,6,17,-0.06614319852970447,1.2817153008378936,2.3442015647888184,0.06270958408820629,7.0,7.0,9.090058283795493,9.090058283795493,0.991826925787497,False,0.0,False
straight_corridor_2,direct_latent,6,18,-0.0651717340861159,1.2877559711302768,2.431758165359497,0.0061182874030596,7.0,7.0,9.0855040299087,9.0855040299087,0.7445175004561234,False,0.0,False
straight_corridor_2,direct_latent,6,19,-0.07888637508602918,1.3125894223718124,1.643347978591919,0.028368850493494215,7.0,7.0,9.080598625085003,9.080598625085003,0.17442971289349965,False,0.0,False
straight_corridor_2,direct_latent,6,20,-0.10989333450094756,1.34353953816817,1.4500668048858643,0.04381028646295688,7.0,7.0,9.085489980416453,9.085489980416453,-0.1092663271452515,False,0.0,False
straight_corridor_2,direct_latent,6,21,-0.13133715523529202,1.3702508367874615,1.9025382995605469,0.03425391833959529,7.0,7.0,9.08570554565421,9.08570554565421,-0.004408141034585067,False,0.0,False
straight_corridor_2,direct_latent,6,22,-0.13274298579185315,1.4291565873024104,2.1175179481506348,0.05892252373484317,7.0,7.0,9.050431969257545,9.050431969257545,0.6007238734212559,False,0.0,False
straight_corridor_2,direct_latent,6,23,-0.11482862900121998,1.6079624803440336,1.5745662450790405,0.17970106167086075,7.0,7.0,8.92719749044643,8.92719749044643,0.6910337689164457,False,0.0,False
straight_corridor_2,direct_latent,6,24,-0.12200247314354101,1.783148975461594,1.9878182411193848,0.17533331717432746,7.0,7.0,8.828275813526112,8.828275813526112,0.5708864150270869,False,0.0,False
straight_corridor_2,direct_latent,6,25,-0.1502665064769327,1.940442586530946,2.2342746257781982,0.15981281445337134,7.0,7.0,8.759305470974027,8.759305470974027,0.4389349241777848,False,0.0,False
straight_corridor_2,direct_latent,6,26,-0.2169958071737126,2.0770086807380386,1.8987518548965454,0.15199703174227364,7.0,7.0,8.736181775254655,8.736181775254655,0.1606080581053634,False,0.0,False
straight_corridor_2,direct_latent,6,27,-0.3161652712320589,2.1804685302149243,1.6634001731872559,0.1433126758364363,7.0,7.0,8.760945032599551,8.760945032599551,-0.16483446049829242,False,0.0,False
straight_corridor_2,direct_latent,6,28,-0.3463106003173804,2.1834031757014247,1.9556576013565063,0.030287836003811325,7.0,7.0,8.784525280524761,8.784525280524761,-0.7778577042786823,False,0.0,False
straight_corridor_2,direct_latent,6,29,-0.2646449416522202,2.2304456189324338,2.062739133834839,0.09424580240178959,7.0,7.0,8.690438143283341,8.690438143283341,0.9983345217334131,False,0.0,False
straight_corridor_2,direct_latent,6,30,-0.13975599415448223,2.324863528529911,1.9600872993469238,0.15656305713625468,7.0,7.0,8.534226191221713,8.534226191221713,0.9977977766845259,False,0.0,False
straight_corridor_2,direct_latent,6,31,-0.021025096009411267,2.4210837807776606,1.725687861442566,0.1528246155465662,7.0,7.0,8.382199421479505,8.382199421479505,0.9948725808146653,False,0.0,False
straight_corridor_2,direct_latent,6,32,0.0849018010188465,2.435605444766843,1.9432313442230225,0.10691766102496747,7.0,7.0,8.285667188428128,8.285667188428128,0.9040439896731757,False,0.0,False
straight_corridor_2,direct_latent,6,33,0.15186007025917134,2.460965314702183,2.206299066543579,0.07159981021481254,7.0,7.0,8.215829621629661,8.215829621629661,0.9755976649498145,False,0.0,False
straight_corridor_2,direct_latent,6,34,0.16953693035269202,2.5045420893486545,1.7796509265899658,0.04702559591706715,7.0,7.0,8.17706350545558,8.17706350545558,0.8252790671960308,False,0.0,False
straight_corridor_2,direct_latent,6,35,0.21795813500199113,2.5056975664803707,1.788865089416504,0.04843498928554878,7.0,7.0,8.136021522988132,8.136021522988132,0.8481973840673482,False,0.0,False
straight_corridor_2,direct_latent,6,36,0.29550111635375303,2.5243641432761375,1.8263285160064697,0.07975810332619472,7.0,7.0,8.06111788791146,8.06111788791146,0.9397136149082449,False,0.0,False
straight_corridor_2,direct_latent,6,37,0.398944816488042,2.6238881140819292,2.1917786598205566,0.14354657732744722,7.0,7.0,7.919866461869386,7.919866461869386,0.984293546639939,False,0.0,False
straight_corridor_2,direct_latent,6,38,0.5952958683931151,2.7896207199723038,2.2788941860198975,0.25694558225321357,7.0,7.0,7.664693646526836,7.664693646526836,0.993323679193851,False,0.0,False
straight_corridor_2,direct_latent,6,39,0.8274099141309462,2.939878011429667,1.8120721578598022,0.2765034970210811,7.0,7.0,7.3881972720171225,7.3881972720171225,0.9999751700414049,False,0.0,False
straight_corridor_2,direct_latent,6,40,1.039680246267851,3.0707240446942228,1.8216848373413086,0.2493579321509164,7.0,7.0,7.138950980338343,7.138950980338343,0.999567395534824,False,0.0,False
straight_corridor_2,direct_latent,6,41,1.1457739919763759,3.1705707341320672,2.1891772747039795,0.14568886117395013,7.0,7.0,6.995462147371397,6.995462147371397,0.9852049780162859,False,0.0,False
straight_corridor_2,direct_latent,6,42,1.2134251376530318,3.2454284088575256,1.761178970336914,0.10089771541847048,7.0,7.0,6.897916821081562,6.897916821081562,0.9672456423743192,False,0.0,False
straight_corridor_2,direct_latent,6,43,1.2877181933713462,3.2912728552635464,1.4752944707870483,0.08729932069746633,7.0,7.0,6.810640239540312,6.810640239540312,0.9997428226346797,False,0.0,False
straight_corridor_2,direct_latent,6,44,1.3562649199497374,3.3376748227262536,1.8451225757598877,0.08277557797456242,7.0,7.0,6.727880153353144,6.727880153353144,0.9998151203489059,False,0.0,False
straight_corridor_2,direct_latent,6,45,1.4361909118974105,3.3812017738539066,1.9660615921020508,0.09100966796603868,7.0,7.0,6.637143374254551,6.637143374254551,0.9970420398863177,False,0.0,False
straight_corridor_2,direct_latent,6,46,1.5398537979381997,3.4988365325723882,1.89736008644104,0.1567926350344971,7.0,7.0,6.486242531199372,6.486242531199372,0.9632940524770208,False,0.0,False
straight_corridor_2,direct_latent,6,47,1.686360175280129,3.6274491973048346,1.9392225742340088,0.19494957330406348,7.0,7.0,6.293557587216378,6.293557587216378,0.9887306278709799,False,0.0,False
straight_corridor_2,direct_latent,6,48,1.836498825786918,3.7384480300821896,1.2404471635818481,0.18671463588571452,7.0,7.0,6.1073288456226615,6.1073288456226615,0.9974747681790199,False,0.0,False
straight_corridor_2,direct_latent,6,49,1.9673470818436767,3.8368557506157166,2.2091915607452393,0.16372338126761202,7.0,7.0,5.944163266351305,5.944163266351305,0.9966841993994892,False,0.0,False
straight_corridor_2,direct_latent,6,50,2.110907236496209,3.869761935859697,2.0843775272369385,0.14728317972928925,7.0,7.0,5.80530949978879,5.80530949978879,0.9441448243124352,False,0.0,False
straight_corridor_2,direct_latent,6,51,2.2719501649758187,3.8515403741026146,1.9417730569839478,0.16207050973621287,7.0,7.0,5.680427207383095,5.680427207383095,0.7762139313465378,False,0.0,False
straight_corridor_2,direct_latent,6,52,2.4308116501962473,3.8370914376543865,1.8388690948486328,0.15951721929285692,7.0,7.0,5.557110107757587,5.557110107757587,0.7787141776300861,False,0.0,False
straight_corridor_2,direct_latent,6,53,2.5977747692041797,3.8423118373109246,1.395845651626587,0.16704471162365772,7.0,7.0,5.417617697424028,5.417617697424028,0.8396094591413958,False,0.0,False
straight_corridor_2,direct_latent,6,54,2.661219029329926,3.9388763065583148,1.8917218446731567,0.11554164125514889,7.0,7.0,5.309943368624454,5.309943368624454,0.9333120216518611,False,0.0,False
straight_corridor_2,direct_latent,6,55,2.7329195421696846,4.081774534463949,2.458901882171631,0.15987766285524355,7.0,7.0,5.16952758976103,5.16952758976103,0.88171224611062,False,0.0,False
straight_corridor_2,direct_latent,6,56,2.884027750603909,4.288217330714871,2.5370430946350098,0.25583650791101087,7.0,7.0,4.928995110895719,4.928995110895719,0.9430523183353683,False,0.0,False
straight_corridor_2,direct_latent,6,57,3.040148890483542,4.497134361201134,2.066575288772583,0.260806702261491,7.0,7.0,4.684523157741754,4.684523157741754,0.9405786001619458,False,0.0,False
straight_corridor_2,direct_latent,6,58,3.18258093718479,4.685820141690971,2.267369031906128,0.2364089923978472,7.0,7.0,4.464091925324585,4.464091925324585,0.9357102501679754,False,0.0,False
straight_corridor_2,direct_latent,6,59,3.2434634055050586,4.856891645940625,2.1974401473999023,0.18158230782487567,7.0,7.0,4.324867697747382,4.324867697747382,0.7751098398087619,False,0.0,False
straight_corridor_2,direct_latent,6,60,3.2111935420634,5.012891686879886,2.2020463943481445,0.159302720816672,7.0,7.0,4.278276969034748,4.278276969034748,0.3093083501490906,False,0.0,False
straight_corridor_2,direct_latent,6,61,3.2059093363888436,5.2039772351642934,1.8742008209228516,0.19115859800899251,7.0,7.0,4.1977162523816975,4.1977162523816975,0.43980668452831445,False,0.0,False
straight_corridor_2,direct_latent,6,62,3.208447155610244,5.401272672582518,1.2349748611450195,0.1973117587789667,7.0,7.0,4.114827097124676,4.114827097124676,0.4394469741737369,False,0.0,False
straight_corridor_2,direct_latent,6,63,3.21781008806636,5.605310860987088,1.5858548879623413,0.20425289919997844,7.0,7.0,4.031143550459742,4.031143550459742,0.4303585801285735,False,0.0,False
straight_corridor_2,direct_latent,6,64,3.30536035254634,5.863566486163238,2.452688694000244,0.27269216480426894,7.0,7.0,3.8654680513371047,3.8654680513371047,0.6288933003403588,False,0.0,False
straight_corridor_2,direct_latent,6,65,3.483919640507544,6.046669459540342,1.9115841388702393,0.25575401888679816,7.0,7.0,3.6430289888747387,3.6430289888747387,0.8777955590129195,False,0.0,False
straight_corridor_2,direct_latent,6,66,3.6565374398652137,6.172577408099081,1.7872791290283203,0.21365794196648702,7.0,7.0,3.444324322216346,3.444324322216346,0.9339740062049436,False,0.0,False
straight_corridor_2,direct_latent,6,67,3.762029929625066,6.255652120085442,2.037524461746216,0.13427610795427922,7.0,7.0,3.322424407413531,3.322424407413531,0.9112578868810406,False,0.0,False
straight_corridor_2,direct_latent,6,68,3.819077254806857,6.3538132092719675,2.2412350177764893,0.1135341214819673,7.0,7.0,3.245893849065073,3.245893849065073,0.6833979227985149,False,0.0,False
straight_corridor_2,direct_latent,6,69,3.8649458593191457,6.48384505309059,1.5091429948806763,0.13788476814636,7.0,7.0,3.1772598877364793,3.1772598877364793,0.5137404954921292,False,0.0,False
straight_corridor_2,direct_latent,6,70,3.951849140582858,6.562068198578792,2.4194955825805664,0.1169232260266035,7.0,7.0,3.079449289152443,3.079449289152443,0.8420607395818841,False,0.0,False
straight_corridor_2,direct_latent,6,71,4.0928143279529134,6.654189400371568,2.441554069519043,0.16839685231624787,7.0,7.0,2.9276805670310493,2.9276805670310493,0.9063894039397073,False,0.0,False
straight_corridor_2,direct_latent,6,72,4.314065702733602,6.73364094127959,2.166874408721924,0.23508449160887648,7.0,7.0,2.6991091488478864,2.6991091488478864,0.974488590787747,False,0.0,False
straight_corridor_2,direct_latent,6,73,4.5146527018990845,6.814707046859102,1.8067951202392578,0.21634892583057072,7.0,7.0,2.492244905835138,2.492244905835138,0.9595972283830239,False,0.0,False
straight_corridor_2,direct_latent,6,74,4.704210508718697,6.885928266987202,1.9559712409973145,0.2024959859424302,7.0,7.0,2.2986217062731757,2.2986217062731757,0.9596650627914712,False,0.0,False
straight_corridor_2,direct_latent,6,75,4.876611980088941,6.963336266713431,2.198171854019165,0.18898218369000003,7.0,7.0,2.1237045256909717,2.1237045256909717,0.9314661648157659,False,0.0,False
straight_corridor_2,direct_latent,6,76,5.017605993375942,6.96166944843846,2.1366524696350098,0.14100386542906107,7.0,7.0,1.9827645419166637,1.9827645419166637,0.9995770245180886,False,0.0,False
straight_corridor_2,direct_latent,6,77,5.1323747124729415,6.901960455515225,1.8195892572402954,0.1293716457307121,7.0,7.0,1.8701967722390362,1.8701967722390362,0.8780361728293823,False,0.0,False
straight_corridor_2,direct_latent,6,78,5.283336341201531,6.857868392635185,1.8823508024215698,0.15726895229957513,7.0,7.0,1.7225375209996012,1.7225375209996012,0.9438777392926812,False,0.0,False
straight_corridor_2,direct_latent,6,79,5.4735575431173675,6.869434391787048,2.1808910369873047,0.19057250062557884,7.0,7.0,1.5320163028577423,1.5320163028577423,0.9997606704933732,False,0.0,False
straight_corridor_2,direct_latent,6,80,5.725755367291888,6.969409333424266,1.8980306386947632,0.27129086138999847,7.0,7.0,1.2746117733910114,1.2746117733910114,0.9576459713394531,False,0.0,False
straight_corridor_2,direct_latent,6,81,5.971027782343172,7.047230141329974,2.135258436203003,0.25732204672003234,7.0,7.0,1.0300555863445722,1.0300555863445722,0.9601566133090897,False,0.0,False
straight_corridor_2,direct_latent,6,82,6.077097740131002,7.108072531113138,2.1339385509490967,0.12228095656985404,7.0,7.0,0.929208401410848,0.929208401410848,0.8437016983449575,True,0.0,True
