scenario,mode,seed,step,x,y,z,speed_mps,wp_idx,active_wp_x,active_wp_y,dist_to_wp,dist_to_target,reachability,action_norm,is_flipped,reached_goal
s_curve_maneuver,heuristic_joint_controller,2,0,0.0,0.0,0.8128451481188561,0.0,0,4.0,0.0,4.0,12.649110640673518,0.0,0.0,False,False
s_curve_maneuver,heuristic_joint_controller,2,1,0.002115391002315856,0.0036750303385235587,0.7937102094256836,0.08480737487211229,0,4.0,0.0,3.9978862981216157,12.645941971793295,0.0,1.6413787603378296,False,False
s_curve_maneuver,heuristic_joint_controller,2,2,0.00774155802641023,0.00885473564006439,0.6693398396025303,0.15294849119074974,0,4.0,0.0,3.992268261759554,12.638967642189355,0.0,1.5731226205825806,False,False
s_curve_maneuver,heuristic_joint_controller,2,3,-0.05081037837716401,0.003371888561173988,0.5864736374100258,1.1761617012466778,0,4.0,0.0,4.050811781754443,12.696261931637432,0.0,1.6264930963516235,False,False
s_curve_maneuver,heuristic_joint_controller,2,4,-0.14376029441630966,0.018585211959821563,0.6312157853673551,1.8837337498188074,0,4.0,0.0,4.143801972547039,12.779772212471832,0.0,1.7476105690002441,False,False
s_curve_maneuver,heuristic_joint_controller,2,5,-0.21272366160443137,0.02262645493194318,0.6136879013221639,1.381633476531808,0,4.0,0.0,4.2127844242857515,12.844069431131242,0.0,1.6510580778121948,False,False
s_curve_maneuver,heuristic_joint_controller,2,6,-0.25251989120860296,-0.008098304795135148,0.5525208363388762,1.0055348330106992,0,4.0,0.0,4.252527602222634,12.891434974639717,0.0,1.5151904821395874,False,False
s_curve_maneuver,heuristic_joint_controller,2,7,-0.28667521968261,-0.03473828415984058,0.5109216344157043,0.8663197940066353,0,4.0,0.0,4.286815973123563,12.932188560936924,0.0,1.932617425918579,False,False
s_curve_maneuver,heuristic_joint_controller,2,8,-0.295366590865925,-0.030351361330142858,0.5158844604726682,0.1947152022415107,0,4.0,0.0,4.295473821950466,12.939079244658705,0.0,2.419243812561035,False,False
s_curve_maneuver,heuristic_joint_controller,2,9,-0.2929349687151955,-0.027219924266119782,0.5167367330970359,0.07929359209887227,0,4.0,0.0,4.2930212636201555,12.935793383610719,0.0,2.3160181045532227,False,False
s_curve_maneuver,heuristic_joint_controller,2,10,-0.29327120608295554,-0.0276102256303826,0.5170281438421521,0.010303217408627871,0,4.0,0.0,4.2933599864838214,12.93623442412477,0.0,2.2818660736083984,False,False
s_curve_maneuver,heuristic_joint_controller,2,11,-0.29324863321355477,-0.02763758680145695,0.5171534560172959,0.0007094133112775104,0,4.0,0.0,4.2933375901266215,12.936221491943574,0.0,2.2765049934387207,False,False
s_curve_maneuver,heuristic_joint_controller,2,12,-0.29319982033328135,-0.02761212279401985,0.5171527662495036,0.0011011108854868219,0,4.0,0.0,4.293288614411441,12.936167177117014,0.0,2.2755930423736572,False,False
s_curve_maneuver,heuristic_joint_controller,2,13,-0.29318961073282424,-0.027606413333270432,0.5171511960330429,0.00023395203229978006,0,4.0,0.0,4.293278368305669,12.936155697352778,0.0,2.2754268646240234,False,False
s_curve_maneuver,heuristic_joint_controller,2,14,-0.2931886705230488,-0.027605885061936838,0.5171515692681,2.1569098485567882e-05,0,4.0,0.0,4.293277424718499,12.936154639399678,0.0,2.2754018306732178,False,False
s_curve_maneuver,heuristic_joint_controller,2,15,-0.2931887129520143,-0.027605910867881226,0.5171517684128067,9.932097220272865e-07,0,4.0,0.0,4.293277467312522,12.936154687754346,0.0,2.2753989696502686,False,False
s_curve_maneuver,heuristic_joint_controller,2,16,-0.29318873627793407,-0.02760592450182589,0.5171518034283179,5.403639437826419e-07,0,4.0,0.0,4.293277490725625,12.936154714165754,0.0,2.2753987312316895,False,False
s_curve_maneuver,heuristic_joint_controller,2,17,-0.2931887379439002,-0.027605925504541357,0.5171518052057419,3.888897784820505e-08,0,4.0,0.0,4.293277492398005,12.936154716061107,0.0,2.2753984928131104,False,False
s_curve_maneuver,heuristic_joint_controller,2,18,-0.29318873745865015,-0.02760592523563907,0.5171518046878509,1.1095513730382128e-08,0,4.0,0.0,4.293277491911036,12.936154715516254,0.0,2.2753984928131104,False,False
