scenario,mode,seed,num_steps,reached_goal,min_dist_to_target,final_dist_to_target,mean_speed_mps,max_speed_mps,flip_steps,ever_flipped,rms_jerk_mps3,total_curvature_rad,path_length_m,mean_reachability
straight_corridor,baseline_high_actor,0,140,False,1.3709882490467127,1.3709882490467127,2.6017626974926076,5.50460567061134,0,False,607.309415415923,60.966096978721794,18.342427017322883,68.24404928870234
straight_corridor,baseline_high_actor,1,140,False,7.829568542812146,8.826464807313089,2.879534422841602,5.134978386016449,0,False,615.4592189374687,47.50064528695886,20.3007176810333,33.234443153895384
straight_corridor,baseline_high_actor,2,140,False,7.410002355123632,8.10262668271109,2.436204736546576,4.793158486072275,0,False,607.7613083598985,55.894099697856596,17.175243392653364,59.204627990722656
straight_corridor,baseline_high_actor,3,140,False,3.165444721108674,8.508333140849462,2.571430244711236,6.0051228962807945,0,False,547.1939624328867,40.98418960343648,18.128583225214218,52.66738131705751
straight_corridor,baseline_high_actor,4,72,True,0.9542501619296992,0.9542501619296992,2.889425125870141,4.485913238482129,0,False,565.185113915132,26.835859851278734,10.546401709426013,68.57319719497471
straight_corridor,fb_latent_optimization,0,140,False,1.211884455025255,6.626688963846562,2.829677757370581,5.977702632577184,0,False,525.3243238980848,44.535798463900015,19.9492281894626,82.26680144181488
straight_corridor,fb_latent_optimization,1,72,True,0.809822093715593,0.809822093715593,2.8209721887869232,5.27918816140935,0,False,503.17263066885494,19.465721459787943,10.296548489072268,79.48511243846319
straight_corridor,fb_latent_optimization,2,140,False,5.539989758921087,5.539989758921087,2.27147073326673,5.3403864014525775,0,False,629.2655179685271,67.98134400492356,16.01386866953045,74.53178273194226
straight_corridor,fb_latent_optimization,3,108,True,0.9901453848900584,0.9901453848900584,2.511853812388177,4.826645636877489,0,False,491.4326257180938,40.074198407121614,13.689603277515562,80.4848953037087
straight_corridor,fb_latent_optimization,4,110,True,0.9686216987575766,0.9686216987575766,2.4359257496529154,6.295974484593401,0,False,586.5658048048044,50.42907858223511,13.51938791057368,80.44299003669808
straight_corridor,heading_direction_alignment,0,140,False,3.3184467293078486,3.3184467293078486,2.6109484148602435,5.657328038998242,0,False,565.1623294325265,53.485146983310564,18.407186324764716,62.69056728038382
straight_corridor,heading_direction_alignment,1,67,True,0.9933147306537143,0.9933147306537143,2.8990651797985394,5.226629630766958,0,False,576.146679084263,21.36975388255094,9.856821611315034,72.12531886381261
straight_corridor,heading_direction_alignment,2,140,False,7.681753207460297,9.65032266521928,3.0172964166990317,5.1037302853663045,0,False,513.3033846258255,38.81763804418049,21.271939737728175,37.37921948804923
straight_corridor,heading_direction_alignment,3,140,False,7.613815693265631,10.931886037591587,2.496412738306203,5.025112956186823,0,False,616.3107463536762,58.53238305053872,17.59970980505873,31.254184222390467
