scenario,mode,seed,step,x,y,z,speed_mps,wp_idx,active_wp_x,active_wp_y,dist_to_wp,dist_to_target,reachability,action_norm,is_flipped,reached_goal
sharp_90deg_turn,fb_latent_optimization,0,0,0.0,0.0,0.658194704787239,0.0,0,4.0,0.0,4.0,8.94427190999916,0.0,0.0,False,False
sharp_90deg_turn,fb_latent_optimization,0,1,-0.0019251261769680644,-0.016418542350825373,0.6402235369895798,0.330620412995383,0,4.0,0.0,4.001958805892368,8.959819806317126,67.5845947265625,1.407181739807129,False,False
sharp_90deg_turn,fb_latent_optimization,0,2,-0.03884790021594846,-0.04872192760116231,0.5616683570075124,0.9811829475414441,0,4.0,0.0,4.039141763705249,9.005232758176023,66.55023193359375,1.6916378736495972,False,False
sharp_90deg_turn,fb_latent_optimization,0,3,-0.12663442333915442,-0.06819145519278243,0.568867945030991,1.7983921871162618,0,4.0,0.0,4.127197807041599,9.062274825976836,67.50499725341797,1.6618489027023315,False,False
sharp_90deg_turn,fb_latent_optimization,0,4,-0.170171554023848,-0.013678198659166847,0.6531431748259466,1.3953031048708904,0,4.0,0.0,4.170193986268293,9.033790403903275,66.97850036621094,1.5477710962295532,False,False
sharp_90deg_turn,fb_latent_optimization,0,5,-0.20306445024385827,0.07023056677193737,0.6678981820033126,1.8025119736537047,0,4.0,0.0,4.203651163621075,8.974797715662556,69.30853271484375,1.7376149892807007,False,False
sharp_90deg_turn,fb_latent_optimization,0,6,-0.22065340851180001,0.19345398347229414,0.6357174413670634,2.4894482823518276,0,4.0,0.0,4.225084571757537,8.874462006394916,70.39253997802734,2.08970046043396,False,False
sharp_90deg_turn,fb_latent_optimization,0,7,-0.21062293195953427,0.2951361469217224,0.5553153721152957,2.043513917116475,0,4.0,0.0,4.220953780884518,8.780334416730136,69.65145111083984,1.4102345705032349,False,False
sharp_90deg_turn,fb_latent_optimization,0,8,-0.11940167871631854,0.3492921836817164,0.5587455132288243,2.1217156605740284,0,4.0,0.0,4.1341837429161234,8.689234735077912,75.8756332397461,0.9666562676429749,False,False
sharp_90deg_turn,fb_latent_optimization,0,9,-0.02543001239547334,0.38120271029815184,0.4792825351414997,1.9848381072575676,0,4.0,0.0,4.043439413547936,8.616853191639187,78.74085998535156,1.8254575729370117,False,False
sharp_90deg_turn,fb_latent_optimization,0,10,0.060289152288595695,0.3460526257763558,0.4519096129682786,1.8529224091714096,0,4.0,0.0,3.954879768511506,8.608381495435708,81.12335205078125,1.6127842664718628,False,False
sharp_90deg_turn,fb_latent_optimization,0,11,0.10578620923375288,0.29382998709249186,0.536961770493585,1.385234446839419,0,4.0,0.0,3.9052832303827594,8.634231715446889,82.1239013671875,1.5344104766845703,False,False
sharp_90deg_turn,fb_latent_optimization,0,12,0.17530694526085125,0.269092789750466,0.5734661937560446,1.475813222611564,0,4.0,0.0,3.8341476096344502,8.625265402088106,82.87593841552734,2.2606120109558105,False,False
sharp_90deg_turn,fb_latent_optimization,0,13,0.2541161573117527,0.24962741411953215,0.5766583875446026,1.623550769460235,0,4.0,0.0,3.7541922711540594,8.60813109698501,87.18167877197266,2.2663938999176025,False,False
sharp_90deg_turn,fb_latent_optimization,0,14,0.35795179724893533,0.1980030774608792,0.6086900314168691,2.319216441525903,0,4.0,0.0,3.647426535222641,8.61020737790166,85.72979736328125,1.9436583518981934,False,False
sharp_90deg_turn,fb_latent_optimization,0,15,0.4754826013388377,0.08618233755609603,0.6022058823356373,3.2445257146690745,0,4.0,0.0,3.525570916712906,8.663182607325922,87.72254943847656,1.7174800634384155,False,False
sharp_90deg_turn,fb_latent_optimization,0,16,0.5666246455311018,-0.03751644704052778,0.5225444303340684,3.0729960319028438,0,4.0,0.0,3.4335803192109804,8.740122250925408,84.83666229248047,1.3724216222763062,False,False
sharp_90deg_turn,fb_latent_optimization,0,17,0.5721740969069455,-0.11758705583650714,0.4754875109131069,1.6052537249334287,0,4.0,0.0,3.429842144708122,8.811651946769127,75.17083740234375,1.5025203227996826,False,False
sharp_90deg_turn,fb_latent_optimization,0,18,0.49284342082381627,-0.16367091631138594,0.45653576661852413,1.8348927340936827,0,4.0,0.0,3.510973574338747,8.885137596046961,75.37666320800781,1.9250558614730835,False,False
