scenario,mode,seed,step,x,y,z,speed_mps,wp_idx,active_wp_x,active_wp_y,dist_to_wp,dist_to_target,reachability,action_norm,is_flipped,reached_goal
straight_corridor,heading_direction_alignment,3,0,0.0,20.0,0.8102548930412794,0.0,0,4.0,20.0,4.0,8.0,0.0,0.0,False,False
straight_corridor,heading_direction_alignment,3,1,-0.0015501780748073202,20.019420052878637,0.7899395211908979,0.3896365002782273,0,4.0,20.0,4.001597301841395,8.001573744626917,59.37538528442383,1.300876498222351,False,False
straight_corridor,heading_direction_alignment,3,2,0.0019225132946509144,20.046748641997738,0.660851562961882,0.5509669204546302,0,4.0,20.0,3.99835078816614,7.998214108091355,59.65935516357422,1.6630289554595947,False,False
straight_corridor,heading_direction_alignment,3,3,-0.006451871448755639,20.072831918331907,0.5020655113305249,0.5478932830963539,0,4.0,20.0,4.007113810033744,8.006783127958018,56.35279846191406,1.8328592777252197,False,False
straight_corridor,heading_direction_alignment,3,4,-0.04952333107965593,20.123467792128828,0.5074280647528421,1.3295326020694587,0,4.0,20.0,4.051405127193729,8.050470182125322,49.706695556640625,1.7579224109649658,False,False
straight_corridor,heading_direction_alignment,3,5,-0.0913822076210821,20.162089695063703,0.4670671602249858,1.139090326817188,0,4.0,20.0,4.094591730329681,8.093005566478555,50.101200103759766,1.6828950643539429,False,False
straight_corridor,heading_direction_alignment,3,6,-0.14584144293283385,20.11388179524232,0.4172762690780328,1.4546215887204623,0,4.0,20.0,4.147405253074146,8.146637458282386,50.39431381225586,1.6479257345199585,False,False
straight_corridor,heading_direction_alignment,3,7,-0.2781361861347972,20.009023298469117,0.4520026987750044,3.376222944321625,0,4.0,20.0,4.278145701940415,8.278141103901866,49.9209098815918,1.9301707744598389,False,False
straight_corridor,heading_direction_alignment,3,8,-0.4320940581877314,19.888255887934747,0.5835708423214212,3.9134534014982063,0,4.0,20.0,4.433502507860376,8.43283445543111,52.845333099365234,1.468379259109497,False,False
straight_corridor,heading_direction_alignment,3,9,-0.5617146860430994,19.778552258091576,0.6151748616898937,3.3962563841021947,0,4.0,20.0,4.567086596426394,8.564578067108878,50.80507278442383,1.5893422365188599,False,False
straight_corridor,heading_direction_alignment,3,10,-0.664387470632574,19.675676773373723,0.5724750858545274,2.9068929152130645,0,4.0,20.0,4.675649263099556,8.670455339633786,50.585262298583984,1.4592229127883911,False,False
straight_corridor,heading_direction_alignment,3,11,-0.6919186986143021,19.630811363678998,0.5929126184792246,1.0527817440015743,0,4.0,20.0,4.706421286242349,8.699755796142183,52.36969757080078,1.5788688659667969,False,False
straight_corridor,heading_direction_alignment,3,12,-0.6974745588881619,19.56750625768172,0.5768397142882838,1.2709687688860116,0,4.0,20.0,4.717342267479221,8.708221089272556,53.602821350097656,0.924699068069458,False,False
straight_corridor,heading_direction_alignment,3,13,-0.7028356949788628,19.480157853865627,0.48964333460141984,1.7502554590004762,0,4.0,20.0,4.731479623845474,8.718347606668123,51.59357452392578,1.8477494716644287,False,False
straight_corridor,heading_direction_alignment,3,14,-0.6713085815178875,19.304716989196283,0.5740019599338062,3.565022068885877,0,4.0,20.0,4.722768502570811,8.69913851947525,51.5986328125,2.0616495609283447,False,False
straight_corridor,heading_direction_alignment,3,15,-0.6467655901939805,19.11550093455221,0.7094849656468477,3.8160227335902834,0,4.0,20.0,4.730197569551279,8.691886663351097,52.61857604980469,1.6498076915740967,False,False
straight_corridor,heading_direction_alignment,3,16,-0.6261668073818123,18.950487448391915,0.7368996512140025,3.325883970803342,0,4.0,20.0,4.74372173780294,8.68977734955037,39.3624267578125,1.4886091947555542,False,False
straight_corridor,heading_direction_alignment,3,17,-0.588039450937155,18.800979528797363,0.673925630472541,3.0858589294359393,0,4.0,20.0,4.74212569358075,8.671336211981169,41.721580505371094,2.1925880908966064,False,False
straight_corridor,heading_direction_alignment,3,18,-0.506668568413264,18.699682534861246,0.5917426766761921,2.598638220546338,0,4.0,20.0,4.690510323586223,8.605477072363568,36.13084030151367,1.6839404106140137,False,False
straight_corridor,heading_direction_alignment,3,19,-0.3477864784869477,18.61217077208793,0.5515086869648533,3.6277721605992546,0,4.0,20.0,4.563914682414753,8.46236427106849,48.13547897338867,2.0195820331573486,False,False
straight_corridor,heading_direction_alignment,3,20,-0.16220472691170779,18.513558461988282,0.5280559243737576,4.203092871727814,0,4.0,20.0,4.419667027577169,8.296450714006953,49.95677947998047,1.9300426244735718,False,False
straight_corridor,heading_direction_alignment,3,21,-0.0504971734775408,18.417345990311343,0.4835538175917931,2.948587268536105,0,4.0,20.0,4.348714875308926,8.20459008449255,48.11204528808594,2.072162389755249,False,False
straight_corridor,heading_direction_alignment,3,22,-0.02788721440304732,18.274354982495886,0.6119644746704148,2.895350656858707,0,4.0,20.0,4.381977423308832,8.21126201345522,51.97285461425781,1.9117909669876099,False,False
straight_corridor,heading_direction_alignment,3,23,-0.0005283247783504003,18.137219796200394,0.6730478615777338,2.7967529860032734,0,4.0,20.0,4.412955581582662,8.21452394014701,44.47207260131836,1.0571160316467285,False,False
straight_corridor,heading_direction_alignment,3,24,0.049850109988699556,18.01340992642268,0.640799841258505,2.6733402734371796,0,4.0,20.0,4.421563555349198,8.194597207555882,41.31643295288086,1.959143877029419,False,False
