scenario,mode,seed,step,x,y,z,speed_mps,wp_idx,active_wp_x,active_wp_y,dist_to_wp,dist_to_target,reachability,action_norm,is_flipped,reached_goal
sharp_90deg_turn,heading_direction_alignment,3,0,0.0,0.0,0.8102548930412794,0.0,0,4.0,0.0,4.0,8.94427190999916,0.0,0.0,False,False
sharp_90deg_turn,heading_direction_alignment,3,1,-0.00427896155827162,0.009566647580525625,0.7920988711389689,0.20959986445333695,0,4.0,0.0,4.004290389410353,8.93763252553134,57.783241271972656,1.4707880020141602,False,False
sharp_90deg_turn,heading_direction_alignment,3,2,-0.0071925314425384705,0.01110303948669449,0.6707991388045983,0.06587682311662561,0,4.0,0.0,4.007207913439819,8.937564916113763,57.41526794433594,1.1451328992843628,False,False
sharp_90deg_turn,heading_direction_alignment,3,3,-0.0004056582940110454,-0.04825269845639813,0.5724644712044276,1.1948498272006047,0,4.0,0.0,4.000696658560739,8.987636893484373,55.76671600341797,1.587351679801941,False,False
sharp_90deg_turn,heading_direction_alignment,3,4,0.0028917491868944,-0.08861019764867917,0.6408127817350417,0.8098396476216994,0,4.0,0.0,3.998090311116739,9.022332807995081,59.96657943725586,1.9189422130584717,False,False
sharp_90deg_turn,heading_direction_alignment,3,5,-0.010228938271025997,-0.09180988521145034,0.6516820297873863,0.27010400949840196,0,4.0,0.0,4.011279744965302,9.031020061751171,60.97443389892578,1.7554254531860352,False,False
sharp_90deg_turn,heading_direction_alignment,3,6,-0.04064097542167385,0.017066785632528177,0.7024074465843484,2.2608866807268715,0,4.0,0.0,4.040677018449809,8.947290215328213,60.355018615722656,1.8783347606658936,False,False
sharp_90deg_turn,heading_direction_alignment,3,7,-0.06601518056419227,0.15513255818630273,0.7158409739998546,2.8075617775917387,0,4.0,0.0,4.068973526479115,8.835973326589835,56.00038146972656,1.2366290092468262,False,False
sharp_90deg_turn,heading_direction_alignment,3,8,-0.07365449611507355,0.2780363609187099,0.6407398220499544,2.462819836542852,0,4.0,0.0,4.083131784759276,8.730600403008497,56.026973724365234,1.464817762374878,False,False
sharp_90deg_turn,heading_direction_alignment,3,9,-0.06898127070281895,0.3856122516368678,0.543076768392324,2.1535469625303074,0,4.0,0.0,4.087212422904245,8.633395007976462,61.297203063964844,1.9624786376953125,False,False
sharp_90deg_turn,heading_direction_alignment,3,10,-0.009513703805735112,0.4677468202718663,0.6255621860216569,2.028051170707132,0,4.0,0.0,4.036704996513917,8.532938421465992,66.00930786132812,1.3592259883880615,False,False
sharp_90deg_turn,heading_direction_alignment,3,11,0.04835563739603979,0.5466586474454243,0.6540705701677961,1.9571343458226793,0,4.0,0.0,3.9892767321065254,8.436100431253752,67.33680725097656,1.8319993019104004,False,False
sharp_90deg_turn,heading_direction_alignment,3,12,0.1120673081359388,0.6215216255848444,0.5952753833379818,1.9660765482933362,0,4.0,0.0,3.937297264308977,8.340141709717974,67.71121215820312,1.3356369733810425,False,False
sharp_90deg_turn,heading_direction_alignment,3,13,0.19460050923207503,0.6707576168814151,0.4598101272200698,1.9220730602275504,0,4.0,0.0,3.8640627666927485,8.258260058561886,68.8684310913086,1.9349086284637451,False,False
sharp_90deg_turn,heading_direction_alignment,3,14,0.2951660700439962,0.5880647891620968,0.44438049871756075,2.6039612729557304,0,4.0,0.0,3.7512150891151936,8.286288555089785,66.24553680419922,2.0087554454803467,False,False
sharp_90deg_turn,heading_direction_alignment,3,15,0.40490675335068904,0.4350538802606588,0.5930080478901979,3.7659185235723847,0,4.0,0.0,3.6213212134293387,8.375745056212182,74.87744903564453,1.4164972305297852,False,False
sharp_90deg_turn,heading_direction_alignment,3,16,0.5019509214433615,0.3077091201860477,0.6469340419345598,3.202140439097519,0,4.0,0.0,3.5115569564847755,8.450306878194416,75.2657470703125,1.5932236909866333,False,False
sharp_90deg_turn,heading_direction_alignment,3,17,0.605245277001264,0.2006760151826839,0.605073162985717,2.974949374815206,0,4.0,0.0,3.400680886586071,8.506104528482405,75.14532470703125,1.2077149152755737,False,False
sharp_90deg_turn,heading_direction_alignment,3,18,0.6955915118427894,0.11004194253549507,0.4765093511718872,2.559451290777457,0,4.0,0.0,3.3062402643671267,8.553978817202816,73.25912475585938,1.4167234897613525,False,False
