scenario_name,mode,seed,split,start_x,start_y,target_x,target_y,num_steps,reached_goal,min_dist_to_goal,final_dist_to_goal,mean_speed,max_speed,mean_subgoal_alignment,plot_path,telemetry_path
straight_corridor_2,direct_latent,7,medium,0.0,0.0,7.0,7.0,190,True,0.9659344202801277,0.9659344202801277,0.1133391178002377,0.2666812368054696,0.3437867057810651,results/experiments/straight_corridor_2/straight_corridor_2_seed7.png,results/experiments/straight_corridor_2/telemetry_straight_corridor_2_seed7.csv
straight_corridor_2,direct_latent,8,medium,0.0,0.0,7.0,7.0,200,False,1.2030948247185846,1.2030948247185846,0.13519297895737437,0.3094028638015942,0.32640305369334516,results/experiments/straight_corridor_2/straight_corridor_2_seed8.png,results/experiments/straight_corridor_2/telemetry_straight_corridor_2_seed8.csv
straight_corridor_2,direct_latent,9,medium,0.0,0.0,7.0,7.0,121,True,0.8973224504517241,0.8973224504517241,0.13169488553430472,0.2988710407188224,0.4356980145607852,results/experiments/straight_corridor_2/straight_corridor_2_seed9.png,results/experiments/straight_corridor_2/telemetry_straight_corridor_2_seed9.csv
straight_corridor_2,direct_latent,10,medium,0.0,0.0,7.0,7.0,145,True,0.8468630636283201,0.8468630636283201,0.1575120848002287,0.3126795472880183,0.36657463565607973,results/experiments/straight_corridor_2/straight_corridor_2_seed10.png,results/experiments/straight_corridor_2/telemetry_straight_corridor_2_seed10.csv
sharp_turn,planner,0,medium,0.0,0.0,8.0,8.0,124,True,0.938881197568665,0.938881197568665,0.14349739649259372,0.2638700509308032,0.6566420054740256,results/experiments/sharp_turn/sharp_turn_seed0.png,results/experiments/sharp_turn/telemetry_sharp_turn_seed0.csv
sharp_turn,planner,1,medium,0.0,0.0,8.0,8.0,135,True,0.8609367348444453,0.8609367348444453,0.14158606688402825,0.3087638792249096,0.5215403613795395,results/experiments/sharp_turn/sharp_turn_seed1.png,results/experiments/sharp_turn/telemetry_sharp_turn_seed1.csv
sharp_turn,planner,2,medium,0.0,0.0,8.0,8.0,165,True,0.896526933780697,0.896526933780697,0.1386978731438828,0.27681174990157786,0.4634446214326191,results/experiments/sharp_turn/sharp_turn_seed2.png,results/experiments/sharp_turn/telemetry_sharp_turn_seed2.csv
sharp_turn,planner,3,medium,0.0,0.0,8.0,8.0,116,True,0.7957529373905426,0.7957529373905426,0.15453789638926313,0.3146720313623924,0.6566315336209959,results/experiments/sharp_turn/sharp_turn_seed3.png,results/experiments/sharp_turn/telemetry_sharp_turn_seed3.csv
sharp_turn,planner,4,medium,0.0,0.0,8.0,8.0,163,True,0.9012988428609601,0.9012988428609601,0.14351106053183849,0.29138649223778673,0.4842720590979139,results/experiments/sharp_turn/sharp_turn_seed4.png,results/experiments/sharp_turn/telemetry_sharp_turn_seed4.csv
sharp_turn,planner,5,medium,0.0,0.0,8.0,8.0,111,True,0.8025900480705754,0.8025900480705754,0.14975782673765464,0.29772335761827906,0.71426315048559,results/experiments/sharp_turn/sharp_turn_seed5.png,results/experiments/sharp_turn/telemetry_sharp_turn_seed5.csv
sharp_turn,planner,6,medium,0.0,0.0,8.0,8.0,235,True,0.9004899744201291,0.9004899744201291,0.1424327083926301,0.32154849680525294,0.25947660093083247,results/experiments/sharp_turn/sharp_turn_seed6.png,results/experiments/sharp_turn/telemetry_sharp_turn_seed6.csv
sharp_turn,planner,7,medium,0.0,0.0,8.0,8.0,142,True,0.9277160312415317,0.9277160312415317,0.13605223326060334,0.31010512245283567,0.5763629829633807,results/experiments/sharp_turn/sharp_turn_seed7.png,results/experiments/sharp_turn/telemetry_sharp_turn_seed7.csv
sharp_turn,planner,8,medium,0.0,0.0,8.0,8.0,400,False,5.947215588460717,6.947381500520224,0.035453690621948974,0.23416578994846476,0.12756784044877312,results/experiments/sharp_turn/sharp_turn_seed8.png,results/experiments/sharp_turn/telemetry_sharp_turn_seed8.csv
sharp_turn,planner,9,medium,0.0,0.0,8.0,8.0,177,True,0.8007299263655728,0.8007299263655728,0.1309951215479558,0.28620308294121366,0.37660400209364575,results/experiments/sharp_turn/sharp_turn_seed9.png,results/experiments/sharp_turn/telemetry_sharp_turn_seed9.csv
sharp_turn,planner,10,medium,0.0,0.0,8.0,8.0,115,True,0.8672531201657202,0.8672531201657202,0.14868835603606578,0.2817057937293714,0.7195651606389019,results/experiments/sharp_turn/sharp_turn_seed10.png,results/experiments/sharp_turn/telemetry_sharp_turn_seed10.csv
corner_recovery,planner,0,medium,20.0,0.0,0.0,20.0,500,False,6.14801925463476,16.80261374154165,0.139055537506599,0.31990273289226767,0.25647539231014277,results/experiments/corner_recovery/corner_recovery_seed0.png,results/experiments/corner_recovery/telemetry_corner_recovery_seed0.csv
corner_recovery,planner,1,medium,20.0,0.0,0.0,20.0,500,False,11.025731332774741,17.029600680211114,0.16581618859222327,0.32057381027484777,0.1926057978438296,results/experiments/corner_recovery/corner_recovery_seed1.png,results/experiments/corner_recovery/telemetry_corner_recovery_seed1.csv
corner_recovery,planner,2,medium,20.0,0.0,0.0,20.0,500,False,2.9480939750889004,5.245577340738288,0.12957091788433459,0.3351576407026076,0.3941077268013142,results/experiments/corner_recovery/corner_recovery_seed2.png,results/experiments/corner_recovery/telemetry_corner_recovery_seed2.csv
corner_recovery,planner,3,medium,20.0,0.0,0.0,20.0,500,False,10.173068914626505,16.601698841686094,0.14749498582423645,0.30682586646256277,0.16171123951885094,results/experiments/corner_recovery/corner_recovery_seed3.png,results/experiments/corner_recovery/telemetry_corner_recovery_seed3.csv
corner_recovery,planner,4,medium,20.0,0.0,0.0,20.0,500,False,3.423976881150999,5.027829404525678,0.13663785954879906,0.27423769222054983,0.38270814722293334,results/experiments/corner_recovery/corner_recovery_seed4.png,results/experiments/corner_recovery/telemetry_corner_recovery_seed4.csv
corner_recovery,planner,5,medium,20.0,0.0,0.0,20.0,500,False,13.499378384185317,13.69614207326162,0.050030656425499,0.2854194952607195,0.21624478857169405,results/experiments/corner_recovery/corner_recovery_seed5.png,results/experiments/corner_recovery/telemetry_corner_recovery_seed5.csv
corner_recovery,planner,6,medium,20.0,0.0,0.0,20.0,500,False,2.80527288994182,3.910192743384532,0.14422007860866395,0.3117486723888393,0.3309450697518079,results/experiments/corner_recovery/corner_recovery_seed6.png,results/experiments/corner_recovery/telemetry_corner_recovery_seed6.csv
corner_recovery,planner,7,medium,20.0,0.0,0.0,20.0,500,False,17.911151276758787,21.805456067833894,0.11892550918779804,0.29883174158995107,0.06496174829551515,results/experiments/corner_recovery/corner_recovery_seed7.png,results/experiments/corner_recovery/telemetry_corner_recovery_seed7.csv
corner_recovery,planner,8,medium,20.0,0.0,0.0,20.0,500,False,5.0707855091273775,5.090442016762154,0.1330739939386924,0.31114498026400433,0.40277165268676024,results/experiments/corner_recovery/corner_recovery_seed8.png,results/experiments/corner_recovery/telemetry_corner_recovery_seed8.csv
