landmark_id,x,y
0,3.7995312,4.262265
1,15.889972,2.401873
2,20.162098,16.694822
3,12.014503,3.7263758
4,20.211306,0.09930731
5,3.008018,6.478075
6,11.718306,10.294415
7,0.05266387,19.928478
8,4.286527,8.742261
9,12.719749,10.347739
10,20.40185,13.634074
11,17.036669,11.015087
12,4.3746953,11.996549
13,12.036255,8.217795
14,13.366745,3.7709284
15,4.0126863,11.771439
16,4.656849,19.230879
17,12.949051,4.93298
18,14.271932,2.7317777
19,3.0465405,4.947651
20,11.234148,9.224865
21,18.194778,4.154995
22,-0.38517043,0.3773465
23,15.978938,0.045281865
24,11.873746,7.033541
25,16.36103,0.5113727
26,-0.2739917,0.088216364
27,3.94371,8.4789915
28,0.16685952,20.86018
29,16.203684,19.519926
30,0.6280271,13.997373
31,8.922898,16.79646
32,8.295047,17.025196
33,18.591963,12.55769
34,0.017292866,4.163739
35,0.67410964,13.580444
36,12.74981,14.226521
37,7.7407765,7.582551
38,12.764056,3.6202834
39,9.789444,8.865806
40,3.6255052,3.6597538
41,7.8372684,7.948743
42,3.5681663,12.489276
43,3.510637,12.558491
44,19.42749,3.582469
45,-0.44882396,17.824522
46,11.878872,12.323844
47,6.8359294,8.590503
48,4.1295824,10.545349
49,2.897367,0.5263155
50,4.489006,8.335523
51,10.901037,11.301869
52,3.1400812,11.082352
53,20.625185,12.065105
54,16.7397,-0.448598
55,12.307699,7.480161
56,12.856248,12.123819
57,2.3665893,4.3113804
58,-0.67432654,4.0037904
59,20.265472,13.946945
60,12.9487915,8.826596
61,16.615446,11.398253
62,7.3536115,8.706729
63,15.302603,20.166012
64,5.095764,2.1517038
65,20.453897,-0.34761277
66,0.14438108,18.465593
67,3.9137805,8.946069
68,20.296616,13.233262
69,19.092472,21.545364
70,10.672733,6.65762
71,6.1349483,7.3695073
72,4.1164145,8.929412
73,12.241099,12.346464
74,2.5981543,3.4885154
75,4.8318253,10.347178
76,0.56808275,1.4923408
77,11.802084,7.7329693
78,1.4678429,3.1699169
79,12.235809,15.518724
80,0.6457705,18.530302
81,19.563509,13.427072
82,20.031206,20.687477
83,19.970325,15.530613
84,11.55235,10.650187
85,18.21392,0.44702604
86,11.536145,7.5994854
87,21.076334,13.669241
88,16.944763,0.5813336
89,16.200384,3.7487607
90,13.846457,3.263771
91,12.593304,3.9905243
92,4.636834,5.5407305
93,11.870228,9.393877
94,8.236374,7.3322425
95,1.1021097,13.398916
96,8.098285,6.6104846
97,14.544095,12.826669
98,8.371681,16.757233
99,7.9088078,20.370884
100,12.67954,5.1852107
101,3.4018252,8.911314
102,3.3026829,12.880138
103,20.31294,11.6793375
104,11.331319,7.473114
105,-1.4494258,4.263817
106,0.38760915,15.773599
107,11.45962,8.234605
108,12.3276205,4.3126
109,17.970737,1.1662763
110,2.4041786,3.0842974
111,12.72107,7.2568784
112,14.210238,2.588472
113,15.730063,2.4756172
114,9.129256,7.8487
115,-0.35433283,0.334014
116,6.075947,7.883409
117,11.408636,3.5199323
118,9.39846,7.8947506
119,8.287072,7.9375253
120,3.3788652,3.6245372
121,12.578463,5.2973514
122,13.231841,12.794808
123,10.866617,8.601395
124,12.181243,11.58913
125,14.832839,4.7116876
126,15.978361,19.687815
127,20.403631,15.009552
128,10.120932,7.9736447
129,19.760225,13.803329
130,12.780921,11.942248
131,18.546598,11.513565
132,9.9296055,15.379069
133,16.556135,3.9923947
134,13.871361,2.7832274
135,13.215116,10.928768
136,-0.4306377,15.931144
137,4.318042,6.356615
138,9.1619005,7.0436063
